Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL,Genre
1,1.0,APT.,ROSÉ & Bruno Mars,8,117909169,-0.05%,https://www.youtube.com/watch?v=ekr2nIex040,Pop
2,2.0,Die With A Smile,Lady Gaga & Bruno Mars,17,63227456,0.03%,https://www.youtube.com/watch?v=kPa7bsKwL-c,Pop
3,3.0,Aaj Ki Raat,Madhubanti Bagchi & Divya Kumar & Sachin Jigar,20,49760573,-0.02%,https://www.youtube.com/watch?v=roz9sXFkTuE,"Bollywood, Pop"
4,4.0,Peelings,Kandukuri Shankar Babu & Laxmi Dasa,2,43794038,0.09%,https://www.youtube.com/watch?v=8RAd-_Qj_ac,Folk
5,6.0,All I Want for Christmas Is You,Mariah Carey,64,35719591,0.14%,https://www.youtube.com/watch?v=aAkMkVFwAoo,"Christmas, Pop"
6,5.0,Tu Boda,Óscar Maydon & Fuerza Regida,9,35134613,-0.08%,https://www.youtube.com/watch?v=_ymicn0_GYc,Unknown
7,10.0,Kissik,Sublahshini,3,34707199,0.47%,https://www.youtube.com/watch?v=3C1n5lqGdmY,Unknown
8,,toxic till the end,ROSÉ,1,31484741,,https://www.youtube.com/watch?v=eA0lHNZ1KCA,Unknown
9,7.0,Si Antes Te Hubiera Conocido,KAROL G,25,30624200,0.01%,https://www.youtube.com/watch?v=QCZZwZQ4qNs,Unknown
10,8.0,Last Christmas,Wham!,45,29021809,0.15%,https://www.youtube.com/watch?v=E8gmARGvPlI,Unknown
11,11.0,BIRDS OF A FEATHER,Billie Eilish,26,23055063,0.01%,https://www.youtube.com/watch?v=V9PVRfjEBTI,Unknown
12,9.0,Hey Minnale,Haricharan & Shweta Mohan,7,21647152,-0.13%,https://www.youtube.com/watch?v=0Z3I8TSUwLI,Unknown
13,12.0,Jo Tum Mere Ho,Anuv Jain,13,21341194,0%,https://www.youtube.com/watch?v=ilNt2bikxDI,Unknown
14,,Strategy (feat. Megan Thee Stallion),TWICE,1,21146229,,https://www.youtube.com/watch?v=Sz_wWzgh-vQ,Unknown
15,29.0,Khé?,Rauw Alejandro & Romeo Santos,4,20661386,0.44%,https://www.youtube.com/watch?v=7SNycTMOF74,Unknown
16,14.0,Gata Only,FloyyMenor & Cris Mj,45,19257072,-0.01%,https://www.youtube.com/watch?v=-r687V8yqKY,Unknown
17,16.0,Aayi Nai,Pawan Singh & Simran Choudhary & Divya Kumar & Sachin Jigar,19,18029013,-0.02%,https://www.youtube.com/watch?v=nFgsBxw-zWQ,Unknown
18,17.0,संतोष पागल,Ankush Raja & Shivani Singh,12,17912059,0.01%,https://www.youtube.com/watch?v=jbzfK_PnDyo,Unknown
19,13.0,Anchre Se Bandhal Dil Bandhale Rahe Da,Chand Ji   & Kalpana & Gaurav Roshan,3,17266885,-0.16%,https://www.youtube.com/watch?v=pCTqWslDviQ,Unknown
20,95.0,Sooseki,Shreya Ghoshal,15,16842350,1.04%,https://www.youtube.com/watch?v=qxbHtcfHq2s,Unknown
21,19.0,Payal,Yo Yo Honey Singh & Paradox,4,16797907,-0.03%,https://www.youtube.com/watch?v=a-PAcmi5Kas,Unknown
22,15.0,Kabootri,Diler Kharkiya,7,16527995,-0.11%,https://www.youtube.com/watch?v=ODG7QhpruR0,Unknown
23,22.0,Espresso,Sabrina Carpenter,35,16455879,0%,https://www.youtube.com/watch?v=eVli-tstM5E,Unknown
24,21.0,Beautiful Things,Benson Boone,46,16237937,-0.02%,https://www.youtube.com/watch?v=Oa_RSwwpPaA,Unknown
25,23.0,Lose Control (Live),Teddy Swims,47,16174012,0%,https://www.youtube.com/watch?v=GZ3zL7kT6_c,Unknown
26,20.0,Chuttamalle,Shilpa Rao,19,15891854,-0.05%,https://www.youtube.com/watch?v=5vsOv_bcnhs,Unknown
27,26.0,number one girl,ROSÉ,3,15247419,0.01%,https://www.youtube.com/watch?v=pZ1NdE69VTs,Unknown
28,27.0,+57 (feat. Ovy On The Drums J Balvin Maluma Ryan Castro & Blessd),KAROL G & Feid & DFZM,5,14900636,0.01%,https://www.youtube.com/watch?v=5r5UePOgMQU,Unknown
29,25.0,DRIP,BABYMONSTER,6,14437866,-0.05%,https://www.youtube.com/watch?v=Zp-Jhuhq0bQ,Unknown
30,18.0,FUNK DO BOUNCE,Ariis,9,14365702,-0.18%,https://www.youtube.com/watch?v=mjsJzKry6E0,Unknown
31,32.0,Whiplash,aespa,8,13788299,-0.03%,https://www.youtube.com/watch?v=jWQx2f-CErU,Unknown
32,34.0,Ishq,Faheem Abdullah & Rauhan Malik,17,13552684,-0.02%,https://www.youtube.com/watch?v=IJeSR-LJBnk,Unknown
33,28.0,DOS DÍAS,Tito Double P & Peso Pluma,12,13399421,-0.07%,https://www.youtube.com/watch?v=nne3lXKc1OU,Unknown
34,41.0,Snowman,Sia,29,13255503,0.07%,https://www.youtube.com/watch?v=gset79KMmt0,Unknown
35,38.0,ใจเป็นนาย กายเป็นบ่าว,Lek Pongsatorn,2,13223080,0.05%,https://www.youtube.com/watch?v=qGOdhkd9hdw,Unknown
36,39.0,Presidente,Gabito Ballesteros & Natanael Cano & Luis R Conriquez & Neton Vega,7,13195367,0.05%,https://www.youtube.com/watch?v=x6UvVnZ-VBE,Unknown
37,30.0,Barbie,MC Tuto & DJ Glenner,8,13006876,-0.09%,https://www.youtube.com/watch?v=CRCQ6Btlllc,Unknown
38,,ROSONES,Jorsshh & Fuerza Regida,1,12963849,,https://www.youtube.com/watch?v=9SsSl3qoOSw,Unknown
39,35.0,Soltera,Shakira,11,12928376,-0.04%,https://www.youtube.com/watch?v=oBofuVYDoG4,Unknown
40,33.0,EL LOKERÓN,Tito Double P,13,12674349,-0.08%,https://www.youtube.com/watch?v=54YpK2I6BM8,Unknown
41,,Godari Gattu Meedha,Ramana Gogula & Madhupriya,1,12624785,,https://www.youtube.com/watch?v=L8s6qxQJKgk,Unknown
42,31.0,Bye Bye Bye,*NSYNC,20,12523715,-0.12%,https://www.youtube.com/watch?v=Eo-KmOd3i7s,Unknown
43,45.0,SI NO ES CONTIGO,Cris Mj,28,12140737,0%,https://www.youtube.com/watch?v=vX1fgqKXSsk,Unknown
44,47.0,Wavy,Karan Aujla,4,11745980,0%,https://www.youtube.com/watch?v=XTp5jaRU3Ws,Unknown
45,49.0,DEPORTIVO,Blessd & Anuel AA & Ovy On The Drums,4,11682212,0.01%,https://www.youtube.com/watch?v=vf2N-7AUHB4,Unknown
46,51.0,Latak Jaiba,Khesari Lal Yadav & Shilpi Raj,3,11678173,0.03%,https://www.youtube.com/watch?v=IRQFN5TAjiY,Unknown
47,,Aaye Haaye,Karan Aujla & Neha Kakkar & Jay Trak,1,11638287,,https://www.youtube.com/watch?v=uChhQpHMmXE,Unknown
48,24.0,HOME SWEET HOME (feat. TAEYANG & DAESUNG),G-DRAGON,3,11600058,-0.28%,https://www.youtube.com/watch?v=fLi0EJfi_vg,Unknown
49,46.0,पलंग सागवान के,Khesari Lal Yadav & Indu Sonali,47,11517386,-0.05%,https://www.youtube.com/watch?v=igQCv_Y33NI,Unknown
50,69.0,NADIE,Tito Double P,3,11194147,0.1%,https://www.youtube.com/watch?v=sI2TE_hYFYQ,Unknown
51,54.0,WILDFLOWER,Billie Eilish,12,11136632,0%,https://www.youtube.com/watch?v=IWKyykQBRKo,Unknown
52,48.0,Millionaire,Yo Yo Honey Singh,16,11088802,-0.05%,https://www.youtube.com/watch?v=XO8wew38VM8,Unknown
53,40.0,Manasilaayo,Malaysia Vasudevan & Yugendran Vasudevan & Anirudh Ravichander & Deepthi Suresh  ,14,10995995,-0.12%,https://www.youtube.com/watch?v=AiD6SOOBKZI,Unknown
54,77.0,Roast Yourself Challenge - Las Hermanitas de Yolo Aventuras,Yolo Aventuras,2,10972695,0.16%,https://www.youtube.com/watch?v=zXKmHe71Wa4,Unknown
55,58.0,सड़िया,Pawan Singh & Shivani Singh,17,10953155,0%,https://www.youtube.com/watch?v=j1PFv7qIPXo,Unknown
56,44.0,Russian Bandana,Dhanda Nyoliwala,5,10853081,-0.11%,https://www.youtube.com/watch?v=1OAjeECW90E,Unknown
57,63.0,Bing Bong,Yailin la Mas Viral & Puyalo Pantera,4,10831180,0.02%,https://www.youtube.com/watch?v=YpoUzo-CflQ,Unknown
58,71.0,blue,yung kai,2,10682522,0.1%,https://www.youtube.com/watch?v=98zHKN-xSHk,Unknown
59,57.0,Victory Anthem,Khushi TDT & Lash curry & Audiocrackerr,3,10622665,-0.04%,https://www.youtube.com/watch?v=clNXfAcaDrM,Unknown
60,61.0,Malvadinho,MC LUUKY & dj jb mix,5,10497989,-0.02%,https://www.youtube.com/watch?v=vyIc6LbHzQs,Unknown
61,55.0,A Danada Me Ligando,MC Cebezinho & Dj Oreia & MC Tuto & Love Funk & Mc Kako,15,10370018,-0.07%,https://www.youtube.com/watch?v=Ps042FNImds,Unknown
62,59.0,Mere Mehboob,Shilpa Rao & Sachet Tandon,10,10315595,-0.06%,https://www.youtube.com/watch?v=UdsO4SM4wKI,Unknown
63,,Coqueta (Remix),Heredero Carranga & Jessi Uribe,1,10281956,,https://www.youtube.com/watch?v=uswZszIYTj0,Unknown
64,67.0,Balamuwa Ke Ballam,Samar Singh & Neha Raj,16,10272455,-0.01%,https://www.youtube.com/watch?v=B_Y2Ya4e9PY,Unknown
65,75.0,बलमा कदर ना जाने,Dhananjay Dhadkan,3,10200066,0.07%,https://www.youtube.com/watch?v=dnTpJbxEpT8,Unknown
